@RELATION fullstop

             @ATTRIBUTE three_before_numeric {TRUE, FALSE}

             @ATTRIBUTE two_before_type {fullstop, numeric, other}

             @ATTRIBUTE two_after_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_after_type {lower, capital_common, np, comma, fullstop, numeric, quotes, other}

             @ATTRIBUTE one_before_type {title, abbrev, internal, quotes, time, other}

             @ATTRIBUTE one_before_contains_fullstop {TRUE, FALSE}

             @ATTRIBUTE one_before_capitals integer

             @ATTRIBUTE one_after_length integer

             @ATTRIBUTE one_before_length integer

             @ATTRIBUTE words_since_EOS integer

             @ATTRIBUTE words_until_EOS integer

             @ATTRIBUTE spaces_following integer

             @ATTRIBUTE class {EOS, NEOS}

             @DATA
FALSE,other,FALSE,other,other,FALSE,1,6,1,31,47,1,NEOS
FALSE,other,FALSE,np,other,FALSE,0,3,5,93,0,0,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,4,19,17,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,7,7,49,25,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,2,5,63,136,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,6,20,58,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,6,7,210,2,3,EOS
FALSE,other,FALSE,other,other,FALSE,0,2,4,22,9,2,EOS
FALSE,other,TRUE,other,title,FALSE,1,4,3,21,65,1,NEOS
FALSE,numeric,FALSE,capital_common,other,FALSE,0,3,1,32,79,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,1,1,6,39,4,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,4,5,60,41,1,EOS
FALSE,other,FALSE,other,other,FALSE,0,8,10,97,88,2,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,10,102,11,2,EOS
FALSE,other,TRUE,numeric,other,FALSE,0,1,7,375,19,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,3,9,40,43,1,EOS
FALSE,other,FALSE,capital_common,other,FALSE,0,2,6,66,35,2,EOS
