@RELATION segment

             @ATTRIBUTE numb_lines integer

             @ATTRIBUTE length integer 

             @ATTRIBUTE dist_BOS integer 

             @ATTRIBUTE init_spaces integer 

             @ATTRIBUTE init_tabs integer 

             @ATTRIBUTE prop_start_numeric real 

             @ATTRIBUTE prop_start_alpha real 

             @ATTRIBUTE proportion_strange real 

             @ATTRIBUTE first_ends_colon {TRUE, FALSE} 

             @ATTRIBUTE num_quoted integer 

             @ATTRIBUTE numbered real 

             @ATTRIBUTE email {TRUE, FALSE} 

             @ATTRIBUTE dashes real 

             @ATTRIBUTE prop_spaces real 

             @ATTRIBUTE hanging integer 

             @ATTRIBUTE prop_cap real 

             @ATTRIBUTE allcaps integer 

             @ATTRIBUTE US_city {TRUE, FALSE} 

             @ATTRIBUTE prop_punctuation real 

             @ATTRIBUTE dist_EOS integer 

             @ATTRIBUTE class {NNHEAD, QUOTED, SIG, TABLE, GRAPHIC, HEADL, ADDRESS, ITEM, PTEXT}

             @DATA
13,468,0,0,0,0,1,0.213675213675214,FALSE,0,1,TRUE,0,0,0,1,0,FALSE,0.111111111111111,17,NNHEAD
2,125,1,26,0,0,0,0.344,FALSE,0,1,FALSE,0,0.208,1,1,0,FALSE,0.008,16,HEADL
1,46,1,26,0,0,0,0.652173913043478,FALSE,0,1,FALSE,0,0.565217391304348,0,1,1,FALSE,0,15,HEADL
4,292,1,0,0,0,1,0.208904109589041,FALSE,0,1,FALSE,0,0,0,0.5,0,FALSE,0.0205479452054795,14,PTEXT
7,506,1,0,0,0,1,0.215415019762846,FALSE,0,1,FALSE,0,0,0,0.285714285714286,0,FALSE,0.0217391304347826,13,PTEXT
1,51,1,19,0,0,0,0.490196078431373,FALSE,0,1,FALSE,0,0.372549019607843,0,1,1,FALSE,0,12,HEADL
7,478,1,0,0,0,1,0.251046025104602,FALSE,0,1,FALSE,0,0,0,0.571428571428571,0,FALSE,0.0188284518828452,11,PTEXT
8,526,1,0,0,0,1,0.231939163498099,FALSE,0,1,FALSE,0,0,0,0.375,1,FALSE,0.0152091254752852,10,PTEXT
7,470,1,0,0,0,1,0.229787234042553,FALSE,0,1,FALSE,0,0,0,0.285714285714286,0,FALSE,0.025531914893617,9,PTEXT
1,54,1,20,0,0,0,0.462962962962963,FALSE,0,1,FALSE,0,0.37037037037037,0,1,1,FALSE,0,8,HEADL
2,123,1,0,0,0,1,0.211382113821138,FALSE,0,1,FALSE,0,0,0,1,0,FALSE,0.00813008130081301,7,PTEXT
5,244,1,100,0,0.2,0,0.516393442622951,FALSE,0,1,FALSE,0,0.409836065573771,0,0.8,0,TRUE,0.00409836065573771,6,ADDRESS
2,119,1,40,0,0,0,0.521008403361345,FALSE,1,1,TRUE,0,0.336134453781513,0,1,0,FALSE,0.117647058823529,5,ADDRESS
2,123,1,0,0,0,1,0.227642276422764,FALSE,0,1,FALSE,0,0,0,0.5,0,FALSE,0.032520325203252,4,PTEXT
2,100,1,0,0,0,1,0.23,FALSE,0,1,FALSE,0,0,0,0.5,0,FALSE,0.03,3,PTEXT
2,83,1,0,0,0.5,0.5,0.289156626506024,FALSE,0,1,FALSE,0,0,0,0.5,1,FALSE,0.0240963855421687,2,PTEXT
1,77,1,0,0,0,0,0.25974025974026,FALSE,0,0,FALSE,0,0,0,0,0,FALSE,0.025974025974026,1,PTEXT
15,559,0,0,0,0,1,0.21824686940966,FALSE,0,1,TRUE,0,0,0,1,0,FALSE,0.12701252236136,6,NNHEAD
1,44,2,0,0,0,1,0.295454545454545,FALSE,0,1,FALSE,0,0,0,1,0,FALSE,0.0909090909090909,5,PTEXT
1,70,2,0,0,0,1,0.314285714285714,TRUE,0,1,FALSE,0,0,0,1,0,FALSE,0.0857142857142857,4,PTEXT
7,453,2,11,0,0,0,0.673289183222958,FALSE,0,0,FALSE,0,0.0242825607064018,1,0,0,FALSE,0.34878587196468,3,GRAPHIC
3,159,2,0,0,0,1,0.314465408805031,FALSE,0,1,FALSE,0,0,0,0.333333333333333,0,FALSE,0.0691823899371069,2,PTEXT
2,32,2,0,0,0,1,0.21875,FALSE,0,1,FALSE,0,0,0,1,0,FALSE,0.03125,1,PTEXT
13,485,0,0,0,0,1,0.216494845360825,FALSE,0,1,TRUE,0,0,0,1,0,FALSE,0.107216494845361,9,NNHEAD
1,73,3,0,0,0,0,1,FALSE,0,0,FALSE,1,0,0,0,1,FALSE,1,8,GRAPHIC
2,59,3,0,5,0,0,0.288135593220339,FALSE,0,0.5,FALSE,0,0,1,1,0,FALSE,0.0169491525423729,7,HEADL
4,255,3,0,0,0,0.75,0.23921568627451,FALSE,0,0.75,FALSE,0,0,0,0.25,0,FALSE,0.0352941176470588,6,PTEXT
10,606,3,0,0,0,1,0.219471947194719,TRUE,0,1,FALSE,0,0,0,0.4,0,FALSE,0.0247524752475248,5,PTEXT
2,75,3,0,0,0,1,0.186666666666667,TRUE,0,1,FALSE,0,0,0,1,0,FALSE,0.0266666666666667,4,PTEXT
5,224,3,0,8,0,0,0.339285714285714,FALSE,0,0,FALSE,1,0,1,0,0,FALSE,0.0892857142857143,3,ITEM
4,157,2,0,3,0,0.25,0.280254777070064,TRUE,0,0.25,FALSE,0.75,0,1,0.25,0,FALSE,0.0636942675159236,2,ITEM
1,72,2,0,0,0,1,0.208333333333333,FALSE,0,1,TRUE,0,0,0,1,0,FALSE,0.0416666666666667,1,PTEXT
13,488,0,0,0,0,1,0.215163934426229,FALSE,0,1,TRUE,0,0,0,1,0,FALSE,0.108606557377049,9,NNHEAD
2,142,4,22,0,0.5,0,0.654929577464789,FALSE,0,0.5,FALSE,0.5,0.154929577464789,0,0,1,FALSE,0.429577464788732,8,HEADL
15,1113,4,0,0,0,1,0.197663971248877,FALSE,0,1,FALSE,0,0,0,0.2,0,FALSE,0.0233602875112309,7,PTEXT
7,498,4,0,0,0,0.857142857142857,0.248995983935743,FALSE,0,0.857142857142857,FALSE,0,0,0,0.285714285714286,0,FALSE,0.0261044176706827,6,PTEXT
2,117,4,41,0,0,0.5,0.632478632478632,FALSE,0,0.5,FALSE,0.5,0.35042735042735,1,0.5,1,FALSE,0.162393162393162,5,PTEXT
6,446,4,0,0,0,1,0.226457399103139,TRUE,0,1,FALSE,0,0,0,0.166666666666667,0,FALSE,0.0291479820627803,4,PTEXT
6,164,4,0,6,0,0,0.24390243902439,FALSE,0,1,FALSE,0,0,0,1,0,TRUE,0.0304878048780488,3,ADDRESS
3,174,3,0,0,0,1,0.241379310344828,FALSE,0,1,FALSE,0,0,0,0.333333333333333,0,FALSE,0.0229885057471264,2,PTEXT
