@RELATION fullstop

             @ATTRIBUTE length integer 

             @ATTRIBUTE dist_BOS integer 

             @ATTRIBUTE init_spaces integer 

             @ATTRIBUTE init_tabs integer 

             @ATTRIBUTE class {NNHEAD, QUOTED, SIG, TABLE, GRAPHIC, HEADL, ADDRESS, ITEM, PTEXT}

             @DATA
73,13,0,0,NNHEAD
31,13,0,0,NNHEAD
45,13,0,0,NNHEAD
43,13,0,0,NNHEAD
26,13,0,0,NNHEAD
47,13,0,0,NNHEAD
37,13,0,0,NNHEAD
27,13,0,0,NNHEAD
30,13,0,0,NNHEAD
19,13,0,0,NNHEAD
40,13,0,0,NNHEAD
10,13,0,0,NNHEAD
40,13,0,0,NNHEAD
66,2,9,0,HEADL
59,2,17,0,HEADL
46,3,26,0,HEADL
77,7,0,0,PTEXT
79,7,0,0,PTEXT
75,7,0,0,PTEXT
61,7,0,0,PTEXT
72,14,0,0,PTEXT
72,14,0,0,PTEXT
69,14,0,0,PTEXT
70,14,0,0,PTEXT
76,14,0,0,PTEXT
76,14,0,0,PTEXT
71,14,0,0,PTEXT
51,15,19,0,HEADL
79,22,0,0,PTEXT
79,22,0,0,PTEXT
75,22,0,0,PTEXT
78,22,0,0,PTEXT
77,22,0,0,PTEXT
78,22,0,0,PTEXT
12,22,0,0,PTEXT
67,30,0,0,PTEXT
72,30,0,0,PTEXT
74,30,0,0,PTEXT
78,30,0,0,PTEXT
78,30,0,0,PTEXT
76,30,0,0,PTEXT
75,30,0,0,PTEXT
6,30,0,0,PTEXT
79,37,0,0,PTEXT
73,37,0,0,PTEXT
77,37,0,0,PTEXT
73,37,0,0,PTEXT
78,37,0,0,PTEXT
71,37,0,0,PTEXT
19,37,0,0,PTEXT
54,38,20,0,HEADL
78,40,0,0,PTEXT
45,40,0,0,PTEXT
48,45,20,0,ADDRESS
73,45,20,0,ADDRESS
42,45,20,0,ADDRESS
45,45,20,0,ADDRESS
36,45,20,0,ADDRESS
60,47,20,0,ADDRESS
59,47,20,0,ADDRESS
78,49,0,0,PTEXT
45,49,0,0,PTEXT
79,51,0,0,PTEXT
21,51,0,0,PTEXT
77,53,0,0,PTEXT
6,53,0,0,PTEXT
77,54,0,0,PTEXT
74,69,0,0,NNHEAD
31,69,0,0,NNHEAD
46,69,0,0,NNHEAD
53,69,0,0,NNHEAD
40,69,0,0,NNHEAD
23,69,0,0,NNHEAD
37,69,0,0,NNHEAD
28,69,0,0,NNHEAD
30,69,0,0,NNHEAD
27,69,0,0,NNHEAD
19,69,0,0,NNHEAD
40,69,0,0,NNHEAD
9,69,0,0,NNHEAD
61,69,0,0,NNHEAD
41,69,0,0,NNHEAD
44,1,0,0,PTEXT
70,2,0,0,PTEXT
47,9,3,0,GRAPHIC
52,9,2,0,GRAPHIC
78,9,1,0,GRAPHIC
78,9,1,0,GRAPHIC
75,9,1,0,GRAPHIC
76,9,1,0,GRAPHIC
47,9,2,0,GRAPHIC
69,12,0,0,PTEXT
69,12,0,0,PTEXT
21,12,0,0,PTEXT
18,14,0,0,PTEXT
14,14,0,0,PTEXT
74,13,0,0,NNHEAD
31,13,0,0,NNHEAD
46,13,0,0,NNHEAD
51,13,0,0,NNHEAD
26,13,0,0,NNHEAD
36,13,0,0,NNHEAD
37,13,0,0,NNHEAD
28,13,0,0,NNHEAD
30,13,0,0,NNHEAD
19,13,0,0,NNHEAD
57,13,0,0,NNHEAD
9,13,0,0,NNHEAD
41,13,0,0,NNHEAD
73,14,0,0,GRAPHIC
36,16,0,2,HEADL
23,16,0,3,HEADL
78,20,0,0,PTEXT
75,20,0,0,PTEXT
76,20,0,0,PTEXT
26,20,0,0,PTEXT
12,30,0,0,PTEXT
74,30,0,0,PTEXT
72,30,0,0,PTEXT
71,30,0,0,PTEXT
73,30,0,0,PTEXT
70,30,0,0,PTEXT
74,30,0,0,PTEXT
67,30,0,0,PTEXT
75,30,0,0,PTEXT
18,30,0,0,PTEXT
15,32,0,0,PTEXT
60,32,0,0,PTEXT
23,37,0,1,ITEM
40,37,0,2,ITEM
62,37,0,2,ITEM
42,37,0,2,ITEM
57,37,0,1,ITEM
73,41,0,0,ITEM
41,41,0,1,ITEM
34,41,0,1,ITEM
9,41,0,1,ITEM
72,42,0,0,PTEXT
73,13,0,0,NNHEAD
31,13,0,0,NNHEAD
45,13,0,0,NNHEAD
43,13,0,0,NNHEAD
26,13,0,0,NNHEAD
67,13,0,0,NNHEAD
37,13,0,0,NNHEAD
28,13,0,0,NNHEAD
30,13,0,0,NNHEAD
19,13,0,0,NNHEAD
40,13,0,0,NNHEAD
9,13,0,0,NNHEAD
40,13,0,0,NNHEAD
71,2,11,0,HEADL
71,2,11,0,HEADL
73,17,0,0,PTEXT
71,17,0,0,PTEXT
73,17,0,0,PTEXT
77,17,0,0,PTEXT
